,p48,p57,p60,p61,p62,p63,p64,p65,p66,p67
p48,,853.0062896747658,244.1422201180016,545.9285619468683,416.20600013588023,618.4946234091005,751.9438480501681,958.937212578676,981.1786000269585,995.6912766776067
p57,853.0062896747658,,667.3109279543161,929.3291380991327,882.466719840992,295.02327325262087,526.5453211130557,744.4292656374391,280.20241863421273,443.0516002027281
p60,244.1422201180016,667.3109279543161,,411.9192813611097,299.7030166410925,399.46666913995176,508.2390713800385,723.4685979641077,754.8423840836466,755.1062365409722
p61,545.9285619468683,929.3291380991327,411.9192813611097,,129.72612207227596,635.6364275846946,506.5550883072674,573.3656737417675,892.5561236532957,803.3984992187128
p62,416.20600013588023,882.466719840992,299.7030166410925,129.72612207227596,,588.1168922589071,526.1552165322062,644.9780063923598,885.2162209807997,821.589735497873
p63,618.4946234091005,295.02327325262087,399.46666913995176,635.6364275846946,588.1168922589071,,308.0019494456218,563.7329837272955,363.2549336016707,412.15628065778657
p64,751.9438480501681,526.5453211130557,508.2390713800385,506.5550883072674,526.1552165322062,308.0019494456218,,258.2674326893725,399.85728350567916,297.68908997351434
p65,958.937212578676,744.4292656374391,723.4685979641077,573.3656737417675,644.9780063923598,563.7329837272955,258.2674326893725,,542.0969300182694,370.88112975622784
p66,981.1786000269585,280.20241863421273,754.8423840836466,892.5561236532957,885.2162209807997,363.2549336016707,399.85728350567916,542.0969300182694,,184.09939634515482
p67,995.6912766776067,443.0516002027281,755.1062365409722,803.3984992187128,821.589735497873,412.15628065778657,297.68908997351434,370.88112975622784,184.09939634515482,
